,"""Bestätigte Fälle""","""Tägliche Zahl der Neuinfektionen""",Datum
Salzkotten,718,0,06_16_2021
Lichtenau,255,0,06_16_2021
Büren,571,1,06_16_2021
Bad Lippspringe,654,3,06_16_2021
Altenbeken,374,0,06_16_2021
Paderborn,5096,2,06_16_2021
Bad Wünnenberg,522,1,06_16_2021
Delbrück,1266,0,06_16_2021
Borchen,430,0,06_16_2021
(gesamter Kreis),10532,6,06_16_2021
(nicht zuordnebar),0,0,06_17_2021
Bad Wünnenberg,522,0,06_17_2021
Bad Lippspringe,654,0,06_17_2021
Delbrück,1267,1,06_17_2021
Borchen,431,1,06_17_2021
Altenbeken,374,0,06_17_2021
Büren,571,0,06_17_2021
Hövelhof,646,0,06_17_2021
Lichtenau,255,0,06_17_2021
Salzkotten,720,2,06_17_2021
Paderborn,5104,8,06_17_2021
(gesamter Kreis),10544,12,06_17_2021
(nicht zuordnebar),0,0,06_18_2021
Borchen,431,0,06_18_2021
Paderborn,5106,2,06_18_2021
Büren,573,2,06_18_2021
Lichtenau,255,0,06_18_2021
Salzkotten,722,2,06_18_2021
Delbrück,1267,0,06_18_2021
Hövelhof,646,0,06_18_2021
Altenbeken,374,0,06_18_2021
Bad Wünnenberg,522,0,06_18_2021
Bad Lippspringe,655,1,06_18_2021
(gesamter Kreis),10551,7,06_18_2021
(nicht zuordnebar),0,0,06_19_2021
Büren,573,0,06_19_2021
Borchen,431,0,06_19_2021
Lichtenau,255,0,06_19_2021
Hövelhof,646,0,06_19_2021
Bad Lippspringe,655,0,06_19_2021
Bad Wünnenberg,522,0,06_19_2021
Paderborn,5108,2,06_19_2021
Altenbeken,374,0,06_19_2021
Salzkotten,725,3,06_19_2021
Delbrück,1267,0,06_19_2021
(gesamter Kreis),10556,5,06_19_2021
(nicht zuordnebar),0,0,06_20_2021
Borchen,431,0,06_20_2021
Paderborn,5108,0,06_20_2021
Lichtenau,255,0,06_20_2021
Büren,573,0,06_20_2021
Salzkotten,725,0,06_20_2021
Delbrück,1267,0,06_20_2021
Bad Wünnenberg,522,0,06_20_2021
Altenbeken,374,0,06_20_2021
Bad Lippspringe,655,0,06_20_2021
Hövelhof,646,0,06_20_2021
(gesamter Kreis),10556,0,06_20_2021
(nicht zuordnebar),0,0,06_21_2021
Büren,573,0,06_21_2021
Altenbeken,374,0,06_21_2021
Salzkotten,725,0,06_21_2021
Paderborn,5108,0,06_21_2021
Lichtenau,255,0,06_21_2021
Bad Lippspringe,655,0,06_21_2021
Delbrück,1267,0,06_21_2021
Bad Wünnenberg,522,0,06_21_2021
Borchen,431,0,06_21_2021
Hövelhof,646,0,06_21_2021
(gesamter Kreis),10556,0,06_21_2021
(nicht zuordnebar),0,0,06_22_2021
Lichtenau,255,0,06_22_2021
Paderborn,5108,0,06_22_2021
Bad Wünnenberg,522,0,06_22_2021
Bad Lippspringe,655,0,06_22_2021
Hövelhof,648,2,06_22_2021
Borchen,431,0,06_22_2021
Delbrück,1267,0,06_22_2021
Salzkotten,726,1,06_22_2021
Büren,574,1,06_22_2021
Altenbeken,374,0,06_22_2021
(gesamter Kreis),10560,4,06_22_2021
(nicht zuordnebar),0,0,06_23_2021
(gesamter Kreis),10562,2,06_23_2021
Büren,575,1,06_23_2021
Bad Wünnenberg,522,0,06_23_2021
Borchen,431,0,06_23_2021
Altenbeken,374,0,06_23_2021
Salzkotten,726,0,06_23_2021
Delbrück,1267,0,06_23_2021
Lichtenau,256,1,06_23_2021
Paderborn,5107,-1,06_23_2021
Hövelhof,647,-1,06_23_2021
Bad Lippspringe,657,2,06_23_2021
