,"""summe_bestaetigt""",datum
Schloß Holte-Stukenbrock,2384,08.01.
Steinhagen,1551,08.01.
Verl,2421,08.01.
Versmold,1643,08.01.
Halle (Westf.),1667,09.01.
Harsewinkel,3342,09.01.
Herzebrock-Clarholz,1640,09.01.
Kreis gesamt,36563,09.01.
Langenberg,725,09.01.
Rheda-Wiedenbrück,6075,09.01.
Rietberg,3032,09.01.
Schloß Holte-Stukenbrock,2411,09.01.
Steinhagen,1567,09.01.
Verl,2444,09.01.
Versmold,1672,09.01.
Werther (Westf.),742,09.01.
Borgholzhausen,674,10.01.
Gütersloh,10610,10.01.
Halle (Westf.),1670,10.01.
Harsewinkel,3349,10.01.
Herzebrock-Clarholz,1644,10.01.
Kreis gesamt,36667,10.01.
Werther (Westf.),746,10.01.
Borgholzhausen,674,11.01.
Gütersloh,10634,11.01.
Halle (Westf.),1673,11.01.
Harsewinkel,3356,11.01.
Herzebrock-Clarholz,1656,11.01.
Kreis gesamt,36749,11.01.
Versmold,1687,11.01.
Werther (Westf.),748,11.01.
Borgholzhausen,679,12.01.
Gütersloh,10726,12.01.
Halle (Westf.),1689,12.01.
Harsewinkel,3362,12.01.
Herzebrock-Clarholz,1660,12.01.
Kreis gesamt,37007,12.01.
Versmold,1703,12.01.
Werther (Westf.),757,12.01.
Borgholzhausen,685,13.01.
Gütersloh,10848,13.01.
Halle (Westf.),1705,13.01.
Harsewinkel,3394,13.01.
Herzebrock-Clarholz,1671,13.01.
Kreis gesamt,37408,13.01.
Versmold,1747,13.01.
Werther (Westf.),765,13.01.
Langenberg,727,10.01.
Rheda-Wiedenbrück,6090,10.01.
Rietberg,3039,10.01.
Schloß Holte-Stukenbrock,2416,10.01.
Steinhagen,1567,10.01.
Verl,2455,10.01.
Versmold,1680,10.01.
Langenberg,729,11.01.
Rheda-Wiedenbrück,6096,11.01.
Rietberg,3041,11.01.
Schloß Holte-Stukenbrock,2423,11.01.
Steinhagen,1572,11.01.
Verl,2460,11.01.
Langenberg,735,12.01.
Rheda-Wiedenbrück,6134,12.01.
Rietberg,3058,12.01.
Schloß Holte-Stukenbrock,2442,12.01.
Steinhagen,1584,12.01.
Verl,2478,12.01.
Langenberg,739,13.01.
Rheda-Wiedenbrück,6186,13.01.
Rietberg,3080,13.01.
Schloß Holte-Stukenbrock,2471,13.01.
Steinhagen,1600,13.01.
Verl,2517,13.01.
